n_nodes,mean_walltime
2,3.29062e-06
3,5.45679e-06
4,6.42823e-06
5,7.56058e-06
6,8.05332e-06
7,9.71363e-06
8,1.12736e-05
9,1.17627e-05
10,1.33543e-05
11,1.31548e-05
12,1.44651e-05
13,1.5472e-05
14,1.59079e-05
15,1.8024e-05
16,1.80355e-05
17,1.95942e-05
18,2.06326e-05
19,2.13215e-05
20,2.21199e-05
21,2.39179e-05
22,2.40293e-05
23,2.62834e-05
24,2.62817e-05
25,4.2496e-05
26,4.56295e-05
27,5.05553e-05
28,4.84116e-05
29,4.12028e-05
30,5.07509e-05
31,5.0814e-05
32,8.0567e-05
33,4.58357e-05
34,5.6554e-05
35,5.75752e-05
36,5.09968e-05
37,6.95016e-05
38,7.89616e-05
39,8.48909e-05
40,6.32428e-05
41,5.80862e-05
42,5.87245e-05
43,0.000104309
44,6.09905e-05
45,6.29326e-05
46,8.77724e-05
47,7.82824e-05
48,7.25819e-05
