bytes,repetitions,time,bandwidth
0,1000,5.17,0.00
1,1000,5.25,0.19
2,1000,5.23,0.38
4,1000,5.24,0.76
8,1000,5.24,1.53
16,1000,5.25,3.05
32,1000,5.22,6.12
64,1000,5.26,12.17
128,1000,5.33,24.04
256,1000,5.33,48.02
512,1000,5.37,95.26
1024,1000,5.91,173.33
2048,1000,5.84,350.64
4096,1000,6.65,615.69
8192,1000,7.11,1151.44
16384,1000,9.25,1771.22
32768,1000,14.84,2207.74
65536,640,29.38,2230.45
131072,320,41.44,3163.27
262144,160,60.10,4361.72
524288,80,93.09,5632.26
1048576,40,155.90,6725.75
2097152,20,285.13,7354.98
4194304,10,594.83,7051.24
8388608,5,1466.80,5718.97
16777216,2,3196.73,5248.24
33554432,1,6349.50,5284.58
67108864,1,12715.70,5277.64
134217728,1,25229.62,5319.85
268435456,1,50107.39,5357.20
