bytes,repetitions,time,bandwidth
0,1000,8.09,0.00
1,1000,8.15,0.12
2,1000,8.19,0.24
4,1000,8.16,0.49
8,1000,8.17,0.98
16,1000,8.17,1.96
32,1000,8.17,3.92
64,1000,8.19,7.81
128,1000,8.55,14.97
256,1000,8.56,29.91
512,1000,8.65,59.18
1024,1000,9.63,106.32
2048,1000,9.21,222.43
4096,1000,10.93,374.78
8192,1000,11.71,699.35
16384,1000,15.83,1035.32
32768,1000,26.17,1252.23
65536,640,58.10,1127.94
131072,320,81.26,1612.98
262144,160,123.72,2118.79
524288,80,196.71,2665.33
1048576,40,327.39,3202.87
2097152,20,622.84,3367.09
4194304,10,1227.27,3417.59
8388608,5,2424.85,3459.43
16777216,2,5036.86,3330.89
33554432,1,10381.53,3232.13
67108864,1,20364.30,3295.42
134217728,1,40467.41,3316.69
268435456,1,80247.47,3345.10
