bytes,repetitions,time,bandwidth
0,1000,1.21,0.00
1,1000,1.21,0.83
2,1000,1.21,1.65
4,1000,1.21,3.31
8,1000,1.21,6.61
16,1000,1.21,13.17
32,1000,1.24,25.76
64,1000,1.47,43.43
128,1000,1.54,83.29
256,1000,1.81,141.07
512,1000,1.90,269.53
1024,1000,2.10,486.59
2048,1000,2.77,738.81
4096,1000,3.66,1118.99
8192,1000,4.68,1749.71
16384,1000,6.28,2607.06
32768,1000,10.02,3270.90
65536,640,12.88,5087.52
131072,320,21.82,6005.78
262144,160,33.33,7865.23
524288,80,57.99,9040.66
1048576,40,97.27,10780.03
2097152,20,181.77,11537.61
4194304,10,353.58,11862.37
8388608,5,694.86,12072.28
16777216,2,1378.24,12172.93
33554432,1,2753.70,12185.20
67108864,1,5498.29,12205.41
134217728,1,10966.76,12238.59
268435456,1,21936.08,12237.17
