bytes,repetitions,time,bandwidth
0,1000,0.23,0.00
1,1000,0.24,4.23
2,1000,0.24,8.34
4,1000,0.24,16.89
8,1000,0.24,33.37
16,1000,0.24,67.29
32,1000,0.25,130.15
64,1000,0.25,260.54
128,1000,0.26,491.85
256,1000,0.28,913.97
512,1000,0.41,1239.07
1024,1000,0.44,2301.43
2048,1000,0.59,3457.13
4096,1000,0.85,4828.39
8192,1000,1.44,5696.35
16384,1000,2.35,6982.36
32768,1000,3.54,9250.43
65536,640,5.72,11454.73
131072,320,8.60,15246.94
262144,160,14.96,17527.03
524288,80,41.67,12581.95
1048576,40,81.54,12859.68
2097152,20,153.16,13692.20
4194304,10,375.70,11163.92
8388608,5,1110.43,7554.40
16777216,2,2438.09,6881.31
33554432,1,5907.32,5680.15
67108864,1,11764.93,5704.14
134217728,1,23740.16,5653.61
268435456,1,49253.71,5450.06
