bytes,repetitions,time,bandwidth
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.04
8,1000,0.98,8.18
16,1000,0.98,16.25
32,1000,1.01,31.83
64,1000,1.14,56.15
128,1000,1.18,108.51
256,1000,1.42,180.33
512,1000,1.48,345.01
1024,1000,1.64,624.06
2048,1000,2.30,888.69
4096,1000,3.17,1290.66
8192,1000,4.44,1843.02
16384,1000,6.23,2629.75
32768,1000,8.38,3911.39
65536,640,12.26,5346.56
131072,320,18.43,7111.56
262144,160,32.73,8009.16
524288,80,54.27,9660.91
1048576,40,98.46,10649.37
2097152,20,182.16,11512.56
4194304,10,352.71,11891.76
8388608,5,692.02,12121.87
16777216,2,1382.34,12136.85
33554432,1,2758.20,12165.34
67108864,1,5509.35,12180.89
134217728,1,11046.10,12150.69
268435456,1,22079.40,12157.74
