bytes,repetitions,time,bandwidth
0,1000,0.41,0.00
1,1000,0.40,2.52
2,1000,0.40,5.00
4,1000,0.40,10.05
8,1000,0.41,19.52
16,1000,0.40,40.14
32,1000,0.57,56.58
64,1000,0.56,114.86
128,1000,0.89,144.11
256,1000,0.92,276.97
512,1000,1.13,454.05
1024,1000,1.27,806.92
2048,1000,2.10,976.02
4096,1000,3.01,1361.68
8192,1000,4.78,1715.45
16384,1000,7.20,2276.87
32768,1000,13.04,2512.39
65536,640,24.92,2629.96
131072,320,47.10,2782.95
262144,160,14.42,18173.51
524288,80,25.50,20564.08
1048576,40,52.24,20073.76
2097152,20,140.92,14881.95
4194304,10,281.05,14923.95
8388608,5,606.96,13820.58
16777216,2,1859.61,9021.91
33554432,1,5492.10,6109.58
67108864,1,11788.46,5692.76
134217728,1,23606.54,5685.62
268435456,1,47110.00,5698.06
