bytes,repetitions,time,bandwidth,time[predicted]
0,1000,15.94,0.0,23.15
1,1000,15.98,0.06,23.1505291005291
2,1000,15.98,0.13,23.151058201058202
4,1000,15.97,0.25,23.152116402116402
8,1000,15.99,0.5,23.1542328042328
16,1000,15.99,1.0,23.158465608465608
32,1000,16.01,2.0,23.166931216931218
64,1000,16.16,3.96,23.183862433862434
128,1000,16.64,7.69,23.217724867724865
256,1000,16.76,15.27,23.285449735449735
512,1000,17.13,29.88,23.42089947089947
1024,1000,17.64,58.06,23.691798941798943
2048,1000,38.74,52.87,24.233597883597884
4096,1000,39.11,104.74,25.317195767195766
8192,1000,40.27,203.41,27.484391534391534
16384,1000,42.45,385.97,31.818783068783066
32768,1000,51.01,642.4,40.48756613756614
65536,640,63.8,1027.25,57.825132275132276
131072,320,115.29,1136.92,92.50026455026456
262144,160,146.24,1792.51,161.8505291005291
524288,80,208.86,2510.22,300.5510582010582
1048576,40,321.03,3266.26,577.9521164021164
2097152,20,599.22,3499.81,1132.7542328042327
4194304,10,1249.9,3355.72,2242.358465608466
8388608,5,2638.84,3178.9,4461.566931216932
16777216,2,5530.57,3033.54,8899.983862433863
33554432,1,10922.37,3072.08,17776.817724867724
67108864,1,21940.52,3058.67,35530.48544973545
134217728,1,43519.47,3084.08,71037.8208994709
268435456,1,85731.87,3131.1,142052.4917989418
