bytes,repetitions,time,bandwidth,time[predicted]
0,1000,1.21,0.0,0.5700000000000001
1,1000,1.21,0.83,0.5702376990729737
2,1000,1.21,1.65,0.5704753981459473
4,1000,1.21,3.31,0.5709507962918945
8,1000,1.21,6.61,0.571901592583789
16,1000,1.21,13.17,0.5738031851675779
32,1000,1.24,25.76,0.5776063703351557
64,1000,1.47,43.43,0.5852127406703115
128,1000,1.54,83.29,0.6004254813406229
256,1000,1.81,141.07,0.6308509626812456
512,1000,1.9,269.53,0.6917019253624911
1024,1000,2.1,486.59,0.8134038507249822
2048,1000,2.77,738.81,1.0568077014499644
4096,1000,3.66,1118.99,1.5436154028999287
8192,1000,4.68,1749.71,2.5172308057998576
16384,1000,6.28,2607.06,4.464461611599716
32768,1000,10.02,3270.9,8.35892322319943
65536,640,12.88,5087.52,16.14784644639886
131072,320,21.82,6005.78,31.72569289279772
262144,160,33.33,7865.23,62.88138578559544
524288,80,57.99,9040.66,125.19277157119087
1048576,40,97.27,10780.03,249.81554314238173
2097152,20,181.77,11537.61,499.06108628476346
4194304,10,353.58,11862.37,997.5521725695271
8388608,5,694.86,12072.28,1994.534345139054
16777216,2,1378.24,12172.93,3988.4986902781084
33554432,1,2753.7,12185.2,7976.427380556216
67108864,1,5498.29,12205.41,15952.28476111243
134217728,1,10966.76,12238.59,31903.99952222486
268435456,1,21936.08,12237.17,63807.42904444973
