#header_line 1:mpirun -np 2 --map-by node ./IMB-MPI1 PingPong -msglog 28 2>/dev/null 
#header_line 2: 
#header_line 3: latency 2.34e-6, bandwidth 12239
bytes,repetitions,time,bandwidth,time[predicted]
0,1000,0.23,0.0,2.34
1,1000,0.24,4.23,2.3400817060217336
2,1000,0.24,8.34,2.3401634120434673
4,1000,0.24,16.89,2.3403268240869353
8,1000,0.24,33.37,2.3406536481738702
16,1000,0.24,67.29,2.341307296347741
32,1000,0.25,130.15,2.342614592695482
64,1000,0.25,260.54,2.3452291853909633
128,1000,0.26,491.85,2.3504583707819267
256,1000,0.28,913.97,2.3609167415638534
512,1000,0.41,1239.07,2.3818334831277066
1024,1000,0.44,2301.43,2.423666966255413
2048,1000,0.59,3457.13,2.507333932510826
4096,1000,0.85,4828.39,2.674667865021652
8192,1000,1.44,5696.35,3.009335730043304
16384,1000,2.35,6982.36,3.6786714600866084
32768,1000,3.54,9250.43,5.017342920173217
65536,640,5.72,11454.73,7.694685840346434
131072,320,8.6,15246.94,13.049371680692866
262144,160,14.96,17527.03,23.758743361385733
524288,80,41.67,12581.95,45.17748672277147
1048576,40,81.54,12859.68,88.01497344554292
2097152,20,153.16,13692.2,173.68994689108587
4194304,10,375.7,11163.92,345.0398937821717
8388608,5,1110.43,7554.4,687.7397875643434
16777216,2,2438.09,6881.31,1373.1395751286868
33554432,1,5907.32,5680.15,2743.939150257374
67108864,1,11764.93,5704.14,5485.538300514748
134217728,1,23740.16,5653.61,10968.736601029495
268435456,1,49253.71,5450.06,21935.13320205899
