bytes,repetitions,time,bandwidth,time[predicted]
0,1000,0.43,0.0,0.67
1,1000,0.43,2.32,0.6701821493624772
2,1000,0.43,4.64,0.6703642987249545
4,1000,0.44,9.13,0.670728597449909
8,1000,0.44,18.36,0.6714571948998179
16,1000,0.43,37.12,0.6729143897996358
32,1000,0.47,68.24,0.6758287795992715
64,1000,0.47,135.9,0.6816575591985429
128,1000,0.58,222.05,0.6933151183970856
256,1000,0.61,419.16,0.7166302367941713
512,1000,0.82,621.11,0.7632604735883425
1024,1000,0.9,1136.15,0.8565209471766849
2048,1000,1.07,1913.75,1.0430418943533697
4096,1000,1.47,2780.01,1.4160837887067397
8192,1000,1.96,4171.34,2.162167577413479
16384,1000,3.33,4913.94,3.654335154826958
32768,1000,5.1,6422.29,6.638670309653916
65536,640,9.44,6940.6,12.607340619307832
131072,320,17.93,7311.45,24.544681238615663
262144,160,34.35,7632.61,48.419362477231324
524288,80,83.65,6267.61,96.16872495446266
1048576,40,169.98,6168.84,191.66744990892533
2097152,20,337.27,6218.05,382.6648998178506
4194304,10,668.51,6274.1,764.6597996357013
8388608,5,1386.16,6051.67,1528.6495992714024
16777216,2,3883.32,4320.33,3056.629198542805
33554432,1,7939.31,4226.37,6112.58839708561
67108864,1,15869.49,4228.8,12224.50679417122
134217728,1,31850.9,4213.94,24448.343588342443
268435456,1,63780.26,4208.75,48896.01717668488
