#header_line 1: mpirun -np 2 --map-by core --report-bindings ./IMB-MPI1 PingPong -msglog 28 2>/dev/null 
#header_line 2:
#header_line 3:  latency 0.95e-6, bandwidth 6445
bytes,repetitions,time,bandwidth,time[predicted]
0,1000,0.21,0.0,0.95
1,1000,0.2,5.04,0.950155159038014
2,1000,0.19,10.49,0.950310318076028
4,1000,0.19,21.07,0.9506206361520559
8,1000,0.19,42.25,0.9512412723041117
16,1000,0.19,83.5,0.9524825446082235
32,1000,0.22,143.47,0.9549650892164468
64,1000,0.22,289.45,0.9599301784328936
128,1000,0.31,411.94,0.9698603568657875
256,1000,0.33,780.43,0.9897207137315748
512,1000,0.39,1321.46,1.0294414274631496
1024,1000,0.49,2088.36,1.1088828549262995
2048,1000,0.75,2748.92,1.267765709852599
4096,1000,1.11,3680.78,1.5855314197051977
8192,1000,1.85,4436.37,2.2210628394103957
16384,1000,2.94,5564.0,3.4921256788207913
32768,1000,4.96,6602.6,6.034251357641583
65536,640,8.44,7767.38,11.118502715283165
131072,320,14.91,8790.37,21.28700543056633
262144,160,13.76,19049.53,41.62401086113267
524288,80,24.75,21186.08,82.29802172226532
1048576,40,54.21,19344.16,163.64604344453065
2097152,20,142.94,14672.04,326.3420868890613
4194304,10,298.39,14056.36,651.7341737781226
8388608,5,853.28,9831.01,1302.518347556245
16777216,2,2256.8,7434.08,2604.0866951124904
33554432,1,5194.27,6459.89,5207.223390224981
67108864,1,10360.09,6477.63,10413.496780449961
134217728,1,20844.0,6439.15,20826.04356089992
268435456,1,41583.75,6455.3,41651.137121799846
