#header_line 1: mpirun -np 2 --map-by core --report-bindings ./IMB-MPI1 PingPong -msglog 28 2>/dev/null 
#header_line 2: 
#header_line 3:  latency 0.40e-6, bandwidth 6089
bytes,repetitions,time,bandwidth
0,1000,0.23,0.00
1,1000,0.22,4.47
2,1000,0.22,9.00
4,1000,0.21,18.81
8,1000,0.22,36.81
16,1000,0.21,75.58
32,1000,0.25,129.39
64,1000,0.25,259.95
128,1000,0.36,355.29
256,1000,0.39,653.12
512,1000,0.46,1105.53
1024,1000,0.57,1811.33
2048,1000,0.78,2635.00
4096,1000,1.15,3568.06
8192,1000,1.90,4318.03
16384,1000,2.97,5523.43
32768,1000,4.76,6888.73
65536,640,8.11,8083.42
131072,320,14.68,8926.52
262144,160,14.03,18687.14
524288,80,25.17,20827.05
1048576,40,62.04,16902.58
2097152,20,158.55,13226.94
4194304,10,344.73,12166.77
8388608,5,976.63,8589.33
16777216,2,2527.94,6636.71
33554432,1,5562.31,6032.47
67108864,1,11388.72,5892.57
134217728,1,22417.94,5987.07
268435456,1,43767.57,6133.20
