#header_line 1: mpirun -np 2 --map-by node --report-bindings ./IMB-MPI1 PingPong -msglog 28 2>/dev/null 
#header_line 2: 
#header_line 3:  latency 0.95e-6, bandwidth 6445
bytes,repetitions,time,bandwidth,time[predicted]
0,1000,0.98,0.0,3.38
1,1000,0.98,1.02,3.380082236842105
2,1000,0.99,2.01,3.3801644736842102
4,1000,0.99,4.04,3.380328947368421
8,1000,0.98,8.18,3.380657894736842
16,1000,0.98,16.25,3.381315789473684
32,1000,1.01,31.83,3.382631578947368
64,1000,1.14,56.15,3.3852631578947365
128,1000,1.18,108.51,3.3905263157894736
256,1000,1.42,180.33,3.4010526315789473
512,1000,1.48,345.01,3.4221052631578943
1024,1000,1.64,624.06,3.464210526315789
2048,1000,2.3,888.69,3.5484210526315785
4096,1000,3.17,1290.66,3.716842105263158
8192,1000,4.44,1843.02,4.053684210526316
16384,1000,6.23,2629.75,4.727368421052631
32768,1000,8.38,3911.39,6.074736842105263
65536,640,12.26,5346.56,8.769473684210526
131072,320,18.43,7111.56,14.158947368421053
262144,160,32.73,8009.16,24.937894736842107
524288,80,54.27,9660.91,46.495789473684205
1048576,40,98.46,10649.37,89.61157894736841
2097152,20,182.16,11512.56,175.84315789473686
4194304,10,352.71,11891.76,348.3063157894737
8388608,5,692.02,12121.87,693.2326315789473
16777216,2,1382.34,12136.85,1383.0852631578948
33554432,1,2758.2,12165.34,2762.7905263157895
67108864,1,5509.35,12180.89,5522.201052631579
134217728,1,11046.1,12150.69,11041.022105263159
268435456,1,22079.4,12157.74,22078.664210526316
