#header_line 1: mpirun -np 2 --map-by node --report-bindings ./IMB-MPI1 PingPong -msglog 28 2>/dev/null 
#header_line 2: 
#header_line 3: latency 2.15e-6, bandwidth 12160
bytes,repetitions,time,bandwidth
0,1000,1.37,0.00
1,1000,1.36,0.74
2,1000,1.36,1.47
4,1000,1.36,2.95
8,1000,1.36,5.89
16,1000,1.36,11.77
32,1000,1.39,22.98
64,1000,1.68,38.18
128,1000,1.72,74.29
256,1000,3.67,69.79
512,1000,2.07,247.20
1024,1000,2.30,444.82
2048,1000,2.98,687.46
4096,1000,3.93,1042.89
8192,1000,5.51,1487.27
16384,1000,7.30,2244.01
32768,1000,10.06,3256.53
65536,640,14.52,4513.57
131072,320,23.58,5557.91
262144,160,33.86,7742.98
524288,80,55.81,9393.61
1048576,40,98.79,10613.78
2097152,20,185.87,11282.74
4194304,10,355.04,11813.72
8388608,5,697.07,12034.05
16777216,2,1383.60,12125.78
33554432,1,2757.51,12168.37
67108864,1,5526.69,12142.68
134217728,1,11023.95,12175.10
268435456,1,22077.49,12158.78
