#header_line 1: mpirun -np 2 --map-by socket --report-bindings ./IMB-MPI1 PingPong -msglog 28 2>/dev/null 
#header_line 2:
#header_line 3:  latency 1.92e-6, bandwidth 5689
bytes,repetitions,time,bandwidth,time[predicted]
0,1000,0.41,0.0,1.92
1,1000,0.4,2.52,1.9201757778168391
2,1000,0.4,5.0,1.920351555633679
4,1000,0.4,10.05,1.920703111267358
8,1000,0.41,19.52,1.9214062225347162
16,1000,0.4,40.14,1.922812445069432
32,1000,0.57,56.58,1.9256248901388644
64,1000,0.56,114.86,1.9312497802777289
128,1000,0.89,144.11,1.9424995605554576
256,1000,0.92,276.97,1.9649991211109155
512,1000,1.13,454.05,2.0099982422218314
1024,1000,1.27,806.92,2.099996484443663
2048,1000,2.1,976.02,2.2799929688873264
4096,1000,3.01,1361.68,2.6399859377746524
8192,1000,4.78,1715.45,3.3599718755493058
16384,1000,7.2,2276.87,4.799943751098611
32768,1000,13.04,2512.39,7.679887502197222
65536,640,24.92,2629.96,13.439775004394445
131072,320,47.1,2782.95,24.959550008788888
262144,160,14.42,18173.51,47.99910001757778
524288,80,25.5,20564.08,94.07820003515556
1048576,40,52.24,20073.76,186.23640007031113
2097152,20,140.92,14881.95,370.55280014062225
4194304,10,281.05,14923.95,739.1856002812444
8388608,5,606.96,13820.58,1476.451200562489
16777216,2,1859.61,9021.91,2950.982401124978
33554432,1,5492.1,6109.58,5900.044802249956
67108864,1,11788.46,5692.76,11798.169604499913
134217728,1,23606.54,5685.62,23594.41920899982
268435456,1,47110.0,5698.06,47186.91841799965
