#header_line 1: mpirun -np 2 --map-by socket --report-bindings ./IMB-MPI1 PingPong -msglog 28 2>/dev/null 
#header_line 2: 
#header_line 3: latency 0.88e-6, bandwidth 4852
bytes,repetitions,time,bandwidth
0,1000,0.42,0.00
1,1000,0.45,2.21
2,1000,0.42,4.76
4,1000,0.43,9.40
8,1000,0.42,18.85
16,1000,0.43,37.60
32,1000,0.58,55.61
64,1000,0.59,108.99
128,1000,1.09,117.73
256,1000,1.10,232.30
512,1000,1.19,428.60
1024,1000,1.47,694.65
2048,1000,2.10,976.21
4096,1000,2.96,1381.59
8192,1000,4.65,1762.97
16384,1000,7.04,2326.55
32768,1000,12.72,2576.26
65536,640,23.44,2796.38
131072,320,43.92,2984.25
262144,160,14.62,17930.93
524288,80,26.23,19990.31
1048576,40,62.79,16700.47
2097152,20,164.06,12782.64
4194304,10,360.00,11650.96
8388608,5,778.67,10772.95
16777216,2,2481.72,6760.32
33554432,1,6825.77,4915.84
67108864,1,14142.85,4745.07
134217728,1,27897.58,4811.09
268435456,1,55054.47,4875.82
